id,location,location_area,seller_type,type,partitioning,comfort,price,rooms_count,useful_surface,built_surface,construction_year,real_estate_type,height_regime,level,max_level,kitchens_count,bathrooms_count,garages_count,parking_lots_count,balconies_count
17518,"Bucuresti, zona Berceni",Berceni,agency,apartament,decomandat,1,380,2,60,65,,bloc de apartamente,P+4E,2,4,,1,,,
17519,"Bucuresti, zona Militari",Militari,agency,apartament,semidecomandat,1,200,2,33,33,2019,bloc de apartamente,P+8E,6,8,1,1,,,
17520,"Bucuresti, Sector 2, zona P-ta Rosetti",P-ta Rosetti,agency,apartament,decomandat,1,1500,5,156,,1940,bloc de apartamente,P+8E,Parter,8,1,1,,,
17521,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,549,2,55,61,,bloc de apartamente,P+4E,3,4,,1,,,
17522,"Bucuresti, zona Dorobanti",Dorobanti,agency,apartament,semidecomandat,1,450,2,41,46,,bloc de apartamente,P+4E,4,4,,1,,,
17523,"Bucuresti, zona Universitate",Universitate,agency,apartament,semidecomandat,1,499,3,70,77,1970,bloc de apartamente,P+8E,5,8,1,1,,,
17524,"Bucuresti, zona Baneasa",Baneasa,agency,apartament,decomandat,1,350,1,36,41,2016,bloc de apartamente,P+5E,1,5,1,1,,,1
17525,"Bucuresti, zona Panduri",Panduri,agency,apartament,semidecomandat,1,280,1,26,28,1992,bloc de apartamente,P+8E,5,8,1,1,,,1
17526,"Bucuresti, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,1,350,2,55,65,1980,bloc de apartamente,P+4E,4,4,1,1,,,1
17527,"Bucuresti, zona Polona",Polona,agency,apartament,semidecomandat,1,650,2,62,,,bloc de apartamente,P+3E,Parter,3,,1,,,
17528,"Bucuresti, zona Berceni",Berceni,agency,apartament,semidecomandat,1,380,2,57,63,1978,bloc de apartamente,P+4E,Parter,4,1,1,,1,1
17529,"Bucuresti, zona Giurgiului",Giurgiului,agency,apartament,semidecomandat,1,300,2,45,55,,bloc de apartamente,P+2E,Parter,2,,1,,,
17530,"Bucuresti, zona Calea Calarasilor",Calea Calarasilor,agency,apartament,semidecomandat,1,160,1,20,20,1970,bloc de apartamente,P+2E,1,2,,,,,1
17601,"Bucuresti, Sector 1, zona Universitate",Universitate,agency,apartament,semidecomandat,lux,550,2,55,60,1980,bloc de apartamente,P+8E,3,8,1,1,,,1
17602,"Bucuresti, zona Cotroceni",Cotroceni,agency,apartament,decomandat,1,400,2,55,60,2020,bloc de apartamente,P+11E,Parter,11,1,1,,,1
17603,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,1,370,2,50,60,,bloc de apartamente,P+8E,2,8,,1,,,
17604,"Bucuresti, zona Titan",Titan,agency,apartament,semidecomandat,1,289,2,50,54,1980,bloc de apartamente,P+10E,2,10,1,1,,,1
17605,"Bucuresti, Sector 3, zona Vitan Mall",Vitan Mall,agency,apartament,decomandat,1,399,2,57,63,1984,bloc de apartamente,P+8E,1,8,1,1,,,1
17606,"Bucuresti, zona Titan",Titan,agency,apartament,decomandat,1,310,1,40,40,,bloc de apartamente,P+10E,Parter,10,,1,,,
17607,"Bucuresti, Sector 6, zona Politehnica",Politehnica,agency,apartament,decomandat,1,750,3,70,81,2014,bloc de apartamente,P+12E,7,12,1,2,,,
17608,"Bucuresti, zona Lujerului",Lujerului,agency,apartament,decomandat,1,339,1,39,,,bloc de apartamente,P+11E,3,11,,1,,,
17609,"Bucuresti, Sector 1, zona P-ta Victoriei",P-ta Victoriei,agency,apartament,decomandat,lux,850,4,110,116,1993,bloc de apartamente,P+10E,6,10,1,2,,,1
17610,"Bucuresti, Sector 4, zona Metalurgiei",Metalurgiei,agency,apartament,decomandat,1,300,2,65,70,2019,bloc de apartamente,P+8E,4,8,1,1,,1,1
17611,"Bucuresti, zona Romana",Romana,agency,apartament,decomandat,lux,830,5,140,155,,bloc de apartamente,P+2E,1,2,,2,,,
17612,"Bucuresti, zona Berceni",Berceni,agency,apartament,decomandat,1,280,1,30,,,bloc de apartamente,P+10E,Parter,10,,1,,,
17613,"Bucuresti, zona Barbu Vacarescu",Barbu Vacarescu,agency,apartament,decomandat,1,300,1,40,40,1990,bloc de apartamente,P+10E,7,10,1,1,,,1
17614,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,2200,3,126,153,2005,bloc de apartamente,P+5E,2,5,1,2,1,,2
17615,"Bucuresti, zona Lujerului",Lujerului,agency,apartament,decomandat,lux,350,1,38,38,1988,bloc de apartamente,P+4E,Parter,4,1,1,,,
17616,"Bucuresti, zona Romana",Romana,agency,apartament,decomandat,lux,549,3,80,90,1981,bloc de apartamente,P+6E,1,6,1,2,,,2
17617,"Bucuresti, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,1,260,2,80,90,2013,bloc de apartamente,P+5E,1,5,1,1,,1,2
17618,"Bucuresti, Sector 3, zona Costin Georgian",Costin Georgian,agency,apartament,semidecomandat,1,230,1,30,32,,bloc de apartamente,P+10E,9,10,1,1,,,1
17619,"Bucuresti, zona Victoriei",Victoriei,agency,apartament,semidecomandat,1,401,2,50,50,1969,bloc de apartamente,P+4E,Parter,4,1,1,,,
17620,"Bucuresti, zona Soseaua Nordului",Soseaua Nordului,agency,apartament,decomandat,lux,2000,4,170,170,,bloc de apartamente,P+6E,5,6,1,3,,2,2
17621,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,1,850,3,67,75,2010,bloc de apartamente,P+10E,7,10,1,1,,,1
17622,"Bucuresti, zona Stefan cel Mare",Stefan cel Mare,agency,apartament,semidecomandat,1,400,1,34,40,1965,bloc de apartamente,P+9E,Parter,9,1,1,,,
17624,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,250,2,14,60,1984,bloc de apartamente,P+8E,3,8,,1,,,1
17625,"Bucuresti, zona Grozavesti",Grozavesti,agency,apartament,decomandat,1,450,2,57,57,2018,bloc de apartamente,P+11E,8,11,1,1,,,1
17626,"Bucuresti, zona P-ta Romana",P-ta Romana,agency,apartament,semidecomandat,1,650,3,60,65,,bloc de apartamente,P+8E,5,8,,1,,,3
17627,"Bucuresti, zona Tineretului",Tineretului,agency,apartament,semidecomandat,1,450,2,52,55,1982,bloc de apartamente,P+10E,Parter,10,1,1,,,
17628,"Bucuresti, zona Ferentari",Ferentari,agency,apartament,decomandat,1,250,1,42,,1992,bloc de apartamente,P+8E,1,8,,1,,,1
17629,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,800,3,129,149,2009,bloc de apartamente,P+4E,4,4,1,2,,1,2
17630,"Bucuresti, zona Lujerului",Lujerului,agency,apartament,decomandat,1,350,1,40,45,,bloc de apartamente,P+12E,11,12,,1,,,
17701,"Bucuresti, Sector 1, zona Floreasca",Floreasca,agency,apartament,decomandat,lux,475,2,75,78,2011,bloc de apartamente,P+6E,3,6,1,2,,,
17702,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,1,800,3,72,85,,bloc de apartamente,P+10E,3,10,,2,,,
17703,"Bucuresti, zona Aparatorii Patriei",Aparatorii Patriei,agency,apartament,decomandat,1,300,2,54,60,1980,bloc de apartamente,P+4E,2,4,,1,,,1
17704,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,420,2,50,55,2014,bloc de apartamente,P+7E,1,7,1,1,,1,2
17705,"Bucuresti, zona Unirii",Unirii,agency,apartament,decomandat,,600,3,68,,,bloc de apartamente,P+7E,5,7,,1,,,
17706,"Bucuresti, zona Panduri",Panduri,agency,apartament,decomandat,1,330,2,52,60,,bloc de apartamente,P+8E,4,8,,1,,,
17707,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,1,3990,3,230,,2009,bloc de apartamente,P+6E,2,6,,3,,1,
17708,"Bucuresti, Sector 1, zona Basarab",Basarab,agency,apartament,semidecomandat,1,599,3,62,65,1982,bloc de apartamente,P+7E,4,7,1,1,,,
17709,"Bucuresti, zona Universitate",Universitate,agency,apartament,decomandat,1,599,3,84,90,1970,bloc de apartamente,P+5E,2,5,1,1,,,1
17710,"Bucuresti, zona Iancului",Iancului,agency,apartament,decomandat,1,400,3,75,80,,bloc de apartamente,P+10E,8,10,,1,,,
17711,"Bucuresti, zona Alba Iulia",Alba Iulia,agency,apartament,decomandat,1,350,1,45,54,1990,bloc de apartamente,P+4E,1,4,1,1,,,1
17712,"Bucuresti, zona Nerva Traian",Nerva Traian,agency,apartament,decomandat,1,319,1,40,45,1990,bloc de apartamente,P+10E,4,10,1,1,,,1
17713,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,2,800,3,80,90,2019,bloc de apartamente,P+7E,Parter,7,,2,,1,
17714,"Bucuresti, zona Dorobanti",Dorobanti,agency,apartament,semidecomandat,1,495,2,55,62,1986,bloc de apartamente,P+4E,Parter,4,,1,,,
17715,"Bucuresti, zona Grozavesti",Grozavesti,agency,apartament,decomandat,lux,500,2,50,52,,bloc de apartamente,P+11E,1,11,,1,,,
17716,"Bucuresti, zona Parcul Carol",Parcul Carol,agency,apartament,decomandat,lux,600,3,70,73,2019,bloc de apartamente,P+9E,2,9,1,2,,,1
17717,"Bucuresti, Sector 5, zona Rahova",Rahova,agency,apartament,semidecomandat,1,370,2,58,70,1992,bloc de apartamente,P+8E,3,8,1,1,,,1
17718,"Bucuresti, zona Titan",Titan,agency,apartament,decomandat,1,320,2,65,65,1974,bloc de apartamente,P+10E,2,10,1,1,,,1
17719,"Bucuresti, zona Militari",Militari,agency,apartament,semidecomandat,1,360,2,60,66,,bloc de apartamente,P+8E,6,8,,1,,,
17720,"Bucuresti, zona Unirii",Unirii,agency,apartament,decomandat,1,600,3,82,85,1990,bloc de apartamente,P+8E,4,8,,2,,,
17721,"Bucuresti, zona Lizeanu",Lizeanu,agency,apartament,semidecomandat,1,480,3,70,75,1991,bloc de apartamente,P+10E,10,10,1,2,,1,1
17722,"Bucuresti, zona Salajan",Salajan,agency,apartament,semidecomandat,1,320,2,58,68,,bloc de apartamente,P+10E,1,10,,1,,,
17723,"Bucuresti, zona Grivita",Grivita,agency,apartament,decomandat,3,320,2,55,58,1970,bloc de apartamente,P+10E,8,10,1,1,,,
17724,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,450,2,48,55,,bloc de apartamente,P+11E,1,11,,1,,,
17725,"Bucuresti, zona P-ta Alba Iulia",P-ta Alba Iulia,agency,apartament,decomandat,1,1250,3,110,120,2010,bloc de apartamente,P+10E,9,10,1,2,,1,2
17726,"Bucuresti, zona Cismigiu",Cismigiu,agency,apartament,semidecomandat,1,390,2,40,55,1950,bloc de apartamente,P+5E,Parter,5,1,1,,,1
17727,"Bucuresti, Sector 3, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,lux,260,1,29,33,2020,bloc de apartamente,D+P+4E,1,4,1,1,2,2,1
17728,"Bucuresti, zona Stefan cel Mare",Stefan cel Mare,agency,apartament,decomandat,lux,1100,3,112,150,2008,bloc de apartamente,P+11E,7,11,1,2,,1,2
17729,"Bucuresti, zona Cismigiu",Cismigiu,agency,apartament,circular,lux,790,3,72,87,1941,bloc de apartamente,P+3E+M,3,3,1,1,,,1
17730,"Bucuresti, Sector 2, zona Teiul Doamnei",Teiul Doamnei,agency,apartament,semidecomandat,1,439,4,89,93,,bloc de apartamente,P+8E,6,8,1,2,,,2
17802,"Bucuresti, zona Cismigiu",Cismigiu,agency,apartament,decomandat,1,470,2,45,55,,bloc de apartamente,P+6E,1,6,,1,,,
17803,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,500,3,80,90,1998,bloc de apartamente,P+8E,3,8,1,2,,,2
17804,"Bucuresti, zona Universitate",Universitate,agency,apartament,decomandat,lux,460,1,45,55,2000,bloc de apartamente,P+5E,1,5,1,1,,1,1
17805,"Bucuresti, zona Decebal",Decebal,agency,apartament,decomandat,lux,550,3,75,79,1995,bloc de apartamente,P+7E,5,7,1,2,,,
17806,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,1,900,3,73,109,2018,bloc de apartamente,P+5E,3,5,1,2,,1,2
17807,"Bucuresti, Sector 3, zona Nerva Traian",Nerva Traian,agency,apartament,decomandat,lux,565,2,65,68,1994,bloc de apartamente,P+8E,1,8,1,1,,,1
